word,count,rank
"('think', 'v')",652,1
"('have', 'v')",570,2
"('put', 'v')",529,3
"('do', 'v')",528,4
"('see', 'v')",491,5
"('know', 'v')",462,6
"('did', 'v')",363,7
"('go', 'v')",342,8
"('want', 'v')",302,9
"('get', 'v')",272,10
"('look', 'v')",226,11
"('take', 'v')",218,12
"('say', 'v')",190,13
"('like', 'v')",189,14
"('tell', 'v')",166,15
"('come', 'v')",143,16
"('need', 'v')",138,17
"('play', 'v')",136,18
"('let', 'v')",130,19
"('write', 'v')",123,20
"('give', 'v')",118,21
"('said', 'v')",116,22
"('happened', 'v')",115,23
"('make', 'v')",112,24
"('does', 'v')",102,25
"('had', 'v')",100,26
"('use', 'v')",96,27
"('hurt', 'v')",91,28
"('turn', 'v')",91,29
"('break', 'v')",89,30
"('goes', 'v')",83,31
"('ask', 'v')",82,32
"('sit', 'v')",81,33
"('throw', 'v')",78,34
"('eat', 'v')",70,35
"('show', 'v')",69,36
"('find', 'v')",67,37
"('pick', 'v')",65,38
"('hit', 'v')",64,39
"('has', 'v')",63,40
"('read', 'v')",60,41
"('went', 'v')",60,42
"('looks', 'v')",59,43
"('guess', 'v')",58,44
"('saw', 'v')",57,45
"('remember', 'v')",56,46
"('keep', 'v')",56,47
"('try', 'v')",56,48
"('thought', 'v')",55,49
"('pull', 'v')",52,50
"('hold', 'v')",51,51
"('fell', 'v')",50,52
"('made', 'v')",50,53
"('blow', 'v')",49,54
"('call', 'v')",48,55
"('says', 'v')",48,56
"('happens', 'v')",45,57
"('hear', 'v')",44,58
"('dropped', 'v')",44,59
"('leave', 'v')",43,60
"('d', 'v')",43,61
"('mean', 'v')",42,62
"('ride', 'v')",41,63
"('cut', 'v')",39,64
"('draw', 'v')",38,65
"('fall', 'v')",37,66
"('missed', 'v')",37,67
"('wants', 'v')",36,68
"('bring', 'v')",35,69
"('took', 'v')",35,70
"('wear', 'v')",34,71
"('close', 'v')",32,72
"('came', 'v')",32,73
"('broke', 'v')",32,74
"('got', 'v')",30,75
"('lost', 'v')",30,76
"('open', 'v')",30,77
"('knock', 'v')",28,78
"('finish', 'v')",27,79
"('needs', 'v')",26,80
"('wait', 'v')",26,81
"('gave', 'v')",25,82
"('comes', 'v')",25,83
"('count', 'v')",25,84
"('stand', 'v')",24,85
"('watch', 'v')",24,86
"('catch', 'v')",24,87
"('push', 'v')",24,88
"('help', 'v')",23,89
"('belong', 'v')",23,90
"('sing', 'v')",23,91
"('tie', 'v')",23,92
"('fly', 'v')",23,93
"('suppose', 'v')",23,94
"('told', 'v')",22,95
"('gobble', 'v')",21,96
"('likes', 'v')",20,97
"('heard', 'v')",20,98
"('supposed', 'v')",20,99
"('shave', 'v')",19,100
"('talk', 'v')",19,101
"('tear', 'v')",18,102
"('feel', 'v')",18,103
"('drink', 'v')",18,104
"('knocked', 'v')",17,105
"('makes', 'v')",17,106
"('wanted', 'v')",17,107
"('buy', 'v')",17,108
"('build', 'v')",16,109
"('move', 'v')",16,110
"('step', 'v')",16,111
"('finished', 'v')",16,112
"('press', 'v')",16,113
"('means', 'v')",16,114
"('change', 'v')",15,115
"('work', 'v')",15,116
"('touch', 'v')",15,117
"('learn', 'v')",15,118
"('understand', 'v')",15,119
"('fit', 'v')",14,120
"('ran', 'v')",14,121
"('kick', 'v')",13,122
"('drive', 'v')",13,123
"('found', 'v')",13,124
"('turned', 'v')",13,125
"('drop', 'v')",13,126
"('stop', 'v')",13,127
"('dirty', 'v')",13,128
"('pay', 'v')",13,129
"('run', 'v')",13,130
"('cry', 'v')",13,131
"('fix', 'v')",12,132
"('walk', 'v')",12,133
"('wake', 'v')",12,134
"('wash', 'v')",12,135
"('fold', 'v')",12,136
"('left', 'v')",12,137
"('excuse', 'v')",11,138
"('spill', 'v')",11,139
"('bite', 'v')",11,140
"('burn', 'v')",11,141
"('hang', 'v')",11,142
"('ate', 'v')",11,143
"('brought', 'v')",11,144
"('live', 'v')",11,145
"('lose', 'v')",11,146
"('caught', 'v')",11,147
"('forget', 'v')",11,148
"('pretend', 'v')",11,149
"('looked', 'v')",11,150
"('played', 'v')",11,151
"('used', 'v')",11,152
"('march', 'v')",10,153
"('matter', 'v')",10,154
"('takes', 'v')",10,155
"('screw', 'v')",10,156
"('shoot', 'v')",10,157
"('grow', 'v')",10,158
"('wipe', 'v')",9,159
"('hurts', 'v')",9,160
"('bother', 'v')",9,161
"('rode', 'v')",9,162
"('fight', 'v')",9,163
"('sleep', 'v')",9,164
"('popped', 'v')",9,165
"('asked', 'v')",9,166
"('paint', 'v')",9,167
"('start', 'v')",9,168
"('bumble', 'v')",8,169
"('spilled', 'v')",8,170
"('carry', 'v')",8,171
"('threw', 'v')",8,172
"('dry', 'v')",8,173
"('punch', 'v')",8,174
"('understands', 'v')",8,175
"('cook', 'v')",8,176
"('sat', 'v')",7,177
"('sticks', 'v')",7,178
"('spell', 'v')",7,179
"('reach', 'v')",7,180
"('park', 'v')",7,181
"('love', 'v')",7,182
"('gets', 'v')",7,183
"('belongs', 'v')",7,184
"('happen', 'v')",7,185
"('time', 'v')",7,186
"('picked', 'v')",7,187
"('listen', 'v')",7,188
"('ready', 'v')",7,189
"('save', 'v')",7,190
"('named', 'v')",7,191
"('frighten', 'v')",7,192
"('fire', 'v')",7,193
"('knew', 'v')",7,194
"('match', 'v')",7,195
"('forgot', 'v')",7,196
