word,count,rank
you,5401,1
what,3081,2
the,3069,3
it,2446,4
a,2324,5
that,1896,6
is,1650,7
no,1609,8
to,1557,9
I,1529,10
don't,1396,11
oh,1140,12
in,971,13
on,936,14
that's,934,15
your,896,16
Adam,886,17
yes,870,18
and,840,19
do,839,20
did,756,21
are,747,22
he,712,23
like,657,24
think,652,25
there,622,26
one,621,27
have,599,28
of,582,29
this,575,30
put,551,31
why,528,32
it's,516,33
you're,515,34
see,500,35
not,498,36
can,469,37
know,462,38
for,453,39
with,453,40
going,417,41
well,411,42
where,409,43
d,407,44
up,390,45
how,348,46
go,342,47
alright,334,48
they,329,49
some,323,50
was,309,51
does,306,52
want,302,53
just,301,54
get,295,55
them,295,56
his,280,57
Paul,280,58
if,278,59
here,270,60
so,265,61
down,263,62
me,262,63
be,261,64
now,257,65
look,251,66
at,248,67
we,247,68
little,244,69
out,243,70
didn't,243,71
right,231,72
he's,230,73
over,228,74
what's,226,75
all,226,76
those,220,77
back,219,78
take,219,79
about,216,80
have_to,209,81
who,208,82
thank_you,208,83
doing,207,84
kind,207,85
she,206,86
play,205,87
would,203,88
because,202,89
can't,198,90
say,198,91
careful,196,92
when,194,93
doesn't,186,94
two,182,95
him,174,96
off,169,97
tell,166,98
her,163,99
but,161,100
I'm,159,101
too,157,102
Urs,157,103
something,149,104
my,148,105
big,147,106
other,145,107
okay,143,108
come,143,109
very,140,110
name,139,111
need,138,112
an,138,113
else,135,114
let,134,115
will,133,116
time,132,117
any,132,118
were,126,119
paper,124,120
turn,124,121
write,123,122
more,122,123
they're,121,124
way,121,125
had,119,126
good,118,127
give,118,128
from,117,129
happened,116,130
said,116,131
then,114,132
make,112,133
car,110,134
truck,109,135
has,108,136
I'll,107,137
let's,107,138
Ursula,104,139
hurt,104,140
use,104,141
nice,103,142
these,102,143
may,102,144
water,102,145
another,100,146
or,99,147
part,98,148
isn't,97,149
mean,97,150
many,93,151
won't,91,152
floor,89,153
please,89,154
break,89,155
book,88,156
maybe,87,157
hit,86,158
mhm,86,159
where's,85,160
boy,85,161
fish,85,162
show,84,163
there's,84,164
goes,83,165
box,82,166
ask,82,167
pencil,81,168
sit,81,169
could,80,170
throw,79,171
train,79,172
color,79,173
baby,78,174
here's,77,175
guess,76,176
house,76,177
enough,76,178
blow,75,179
hm,74,180
mouth,73,181
perhaps,73,182
around,73,183
you'll,72,184
playing,72,185
ride,71,186
again,71,187
Mommy,70,188
eat,70,189
what're,70,190
looks,69,191
anything,69,192
got,69,193
things,69,194
school,68,195
might,68,196
xxx,68,197
ball,67,198
find,67,199
dear,67,200
Mr,66,201
head,66,202
first,66,203
pick,65,204
door,65,205
chair,64,206
must,64,207
doggie,64,208
saw,63,209
tape,63,210
remember,63,211
honey,62,212
you've,62,213
bag,62,214
light,61,215
read,60,216
went,60,217
cowboy,60,218
yourself,59,219
game,59,220
Daddy,58,221
Cromer,58,222
should,58,223
broken,57,224
thought,56,225
really,56,226
away,56,227
man,56,228
call,56,229
hand,56,230
airplane,56,231
keep,56,232
milk,56,233
try,56,234
Robin,55,235
home,55,236
bed,55,237
aren't,55,238
hold,55,239
dog,54,240
hat,54,241
finished,54,242
made,54,243
horse,52,244
pull,52,245
nose,52,246
together,51,247
Adam's,51,248
three,51,249
much,51,250
looking,50,251
whose,50,252
fell,50,253
leave,49,254
pretty,49,255
story,49,256
Diandra,49,257
under,48,258
cut,48,259
says,48,260
fall,47,261
watch,47,262
table,47,263
open,47,264
side,47,265
yours,46,266
hello,46,267
top,46,268
fire,45,269
stop,45,270
you'd,45,271
wait,45,272
happens,45,273
better,45,274
hear,44,275
dropped,44,276
toys,43,277
she's,43,278
talking,43,279
dirty,42,280
wouldn't,42,281
hole,42,282
finger,42,283
through,42,284
toy,41,285
poor,41,286
four,41,287
people,41,288
by,41,289
out_of,40,290
funny,40,291
morning,40,292
broke,40,293
either,40,294
as,40,295
fly,40,296
only,40,297
outside,39,298
close,39,299
we'll,39,300
talk,39,301
sitting,38,302
mine,38,303
coffee,38,304
draw,38,305
seen,37,306
lost,37,307
lion,37,308
missed,37,309
while,36,310
wants,36,311
Ursula's,36,312
green,36,313
street,36,314
I've,36,315
which,35,316
yet,35,317
bring,35,318
same,35,319
push,35,320
red,35,321
took,35,322
fingers,35,323
piece,34,324
wear,34,325
still,34,326
almost,34,327
I'd,34,328
Daddy's,33,329
saying,33,330
song,33,331
bulldozer,32,332
stand,32,333
who's,32,334
work,32,335
feet,32,336
bird,32,337
kitchen,32,338
came,32,339
boat,32,340
making,32,341
pretend,32,342
wheels,32,343
puzzle,32,344
behind,32,345
money,32,346
sorry,31,347
knock,31,348
yesterday,31,349
animals,31,350
help,30,351
long,30,352
face,30,353
place,30,354
tire,30,355
busy,29,356
shoe,29,357
ready,29,358
stay,29,359
doctor,29,360
somebody,29,361
juice,29,362
supposed,29,363
count,29,364
small,28,365
Cromer's,28,366
night,28,367
today,28,368
putting,28,369
sure,28,370
ice,28,371
air,28,372
blue,28,373
www,28,374
foot,27,375
recorder,27,376
hands,27,377
last,27,378
before,27,379
thing,27,380
tie,27,381
finish,27,382
basket,26,383
sleeping,26,384
wasn't,26,385
paint,26,386
having,26,387
needs,26,388
fun,26,389
has_to,26,390
wrong,26,391
Smith,25,392
boots,25,393
cat,25,394
gave,25,395
men,25,396
pocket,25,397
shoes,25,398
comes,25,399
pen,25,400
word,25,401
nursery,25,402
window,24,403
circus,24,404
move,24,405
shall,24,406
catch,24,407
snow,24,408
microphone,24,409
yellow,24,410
flowers,24,411
drink,24,412
boys,24,413
nothing,24,414
their,24,415
food,24,416
taking,24,417
probably,24,418
tired,24,419
sleep,24,420
bunny,23,421
walk,23,422
yeah,23,423
dirt,23,424
hot,23,425
suitcase,23,426
supper,23,427
belong,23,428
screw,23,429
day,23,430
anybody,23,431
getting,23,432
sing,23,433
trying,23,434
new,23,435
after,23,436
cars,23,437
bottle,23,438
suppose,23,439
accident,23,440
books,22,441
told,22,442
drive,22,443
shirt,22,444
eyes,22,445
where're,22,446
picture,22,447
lunch,22,448
eggs,22,449
heard,22,450
Shadow_Gay,22,451
so_that,22,452
Paul's,22,453
jump,21,454
rug,21,455
trash,21,456
eating,21,457
bus,21,458
never,21,459
tricycle,21,460
duck,21,461
than,21,462
we're,21,463
gobble,21,464
cake,21,465
likes,20,466
am,20,467
been,20,468
flat,20,469
tear,20,470
boot,20,471
turning,20,472
room,20,473
silly,20,474
strong,20,475
noise,20,476
pennies,20,477
into,20,478
cow,20,479
sugar,20,480
writing,19,481
Mommy's,19,482
anymore,19,483
lady,19,484
shave,19,485
wagon,19,486
already,19,487
step,19,488
buy,19,489
letter,19,490
scissors,19,491
black,19,492
fit,19,493
number,19,494
button,19,495
press,19,496
garage,19,497
run,19,498
magic,19,499
quack,19,500
germs,19,501
butter,19,502
Italy,19,503
change,18,504
kitty,18,505
trailer,18,506
Perro,18,507
haven't,18,508
old,18,509
hammer,18,510
feel,18,511
knocked,18,512
stick,18,513
five,18,514
huh,18,515
means,18,516
horn,17,517
Bozo,17,518
Humpty_Dumpty,17,519
record,17,520
touch,17,521
wash,17,522
David,17,523
bite,17,524
girl,17,525
turned,17,526
matter,17,527
string,17,528
makes,17,529
pencils,17,530
cup,17,531
wanted,17,532
