word,count,rank
"('have', 'v')",426,1
"('put', 'v')",298,2
"('want', 'v')",251,3
"('go', 'v')",208,4
"('see', 'v')",206,5
"('get', 'v')",199,6
"('do', 'v')",198,7
"('did', 'v')",147,8
"('know', 'v')",145,9
"('eat', 'v')",123,10
"('take', 'v')",114,11
"('think', 'v')",104,12
"('like', 'v')",99,13
"('sit', 'v')",92,14
"('make', 'v')",92,15
"('read', 'v')",87,16
"('come', 'v')",73,17
"('say', 'v')",61,18
"('let', 'v')",56,19
"('give', 'v')",55,20
"('write', 'v')",51,21
"('had', 'v')",50,22
"('has', 'v')",45,23
"('look', 'v')",44,24
"('bring', 'v')",43,25
"('find', 'v')",42,26
"('fix', 'v')",41,27
"('drink', 'v')",39,28
"('move', 'v')",38,29
"('play', 'v')",37,30
"('ask', 'v')",36,31
"('need', 'v')",36,32
"('hear', 'v')",34,33
"('tell', 'v')",34,34
"('wait', 'v')",32,35
"('wipe', 'v')",32,36
"('got', 'v')",29,37
"('went', 'v')",28,38
"('turn', 'v')",24,39
"('hold', 'v')",24,40
"('watch', 'v')",23,41
"('forgot', 'v')",22,42
"('climb', 'v')",21,43
"('comes', 'v')",21,44
"('leave', 'v')",20,45
"('cut', 'v')",19,46
"('said', 'v')",18,47
"('goes', 'v')",17,48
"('time', 'v')",17,49
"('sing', 'v')",17,50
"('open', 'v')",16,51
"('throw', 'v')",16,52
"('crack', 'v')",16,53
"('finish', 'v')",16,54
"('blow', 'v')",16,55
"('wants', 'v')",15,56
"('taste', 'v')",15,57
"('dropped', 'v')",15,58
"('break', 'v')",15,59
"('wash', 'v')",15,60
"('chew', 'v')",15,61
"('jump', 'v')",15,62
"('change', 'v')",14,63
"('happened', 'v')",14,64
"('touch', 'v')",14,65
"('pee', 'v')",14,66
"('shut', 'v')",13,67
"('fold', 'v')",13,68
"('draw', 'v')",13,69
"('keep', 'v')",12,70
"('lay', 'v')",12,71
"('forget', 'v')",12,72
"('spilled', 'v')",12,73
"('came', 'v')",12,74
"('buy', 'v')",12,75
"('made', 'v')",12,76
"('show', 'v')",11,77
"('use', 'v')",11,78
"('help', 'v')",11,79
"('pull', 'v')",11,80
"('finished', 'v')",10,81
"('belongs', 'v')",10,82
"('fell', 'v')",10,83
"('fixed', 'v')",10,84
"('spill', 'v')",10,85
"('peel', 'v')",10,86
"('belong', 'v')",10,87
"('wake', 'v')",10,88
"('thought', 'v')",9,89
"('stand', 'v')",9,90
"('cook', 'v')",9,91
"('hurt', 'v')",9,92
"('pick', 'v')",9,93
"('gets', 'v')",9,94
"('try', 'v')",9,95
"('looks', 'v')",9,96
"('took', 'v')",8,97
"('sleep', 'v')",8,98
"('pour', 'v')",8,99
"('swing', 'v')",7,100
"('clean', 'v')",7,101
"('stir', 'v')",7,102
"('lick', 'v')",7,103
"('needs', 'v')",7,104
"('smack', 'v')",7,105
"('pants', 'v')",7,106
"('feel', 'v')",7,107
"('bite', 'v')",7,108
"('call', 'v')",6,109
"('eats', 'v')",6,110
"('carry', 'v')",6,111
"('bang', 'v')",6,112
"('ready', 'v')",6,113
"('suppose', 'v')",6,114
"('bet', 'v')",6,115
"('wear', 'v')",6,116
"('remember', 'v')",6,117
"('talk', 'v')",5,118
"('wan', 'v')",5,119
"('hit', 'v')",5,120
"('guess', 'v')",5,121
"('does', 'v')",5,122
"('run', 'v')",5,123
"('wish', 'v')",5,124
"('d', 'v')",5,125
"('dirty', 'v')",5,126
"('spell', 'v')",5,127
"('share', 'v')",5,128
"('hurry', 'v')",5,129
"('makes', 'v')",5,130
"('gave', 'v')",4,131
"('busy', 'v')",4,132
"('fall', 'v')",4,133
"('stuck', 'v')",4,134
"('drinks', 'v')",4,135
"('heard', 'v')",4,136
"('stop', 'v')",4,137
"('drop', 'v')",4,138
"('spoon', 'v')",4,139
"('bicycle', 'v')",4,140
"('asked', 'v')",4,141
"('cool', 'v')",4,142
"('happen', 'v')",4,143
"('send', 'v')",4,144
"('melted', 'v')",4,145
"('care', 'v')",4,146
"('cry', 'v')",4,147
"('saw', 'v')",4,148
"('hope', 'v')",4,149
"('works', 'v')",4,150
"('supposed', 'v')",4,151
"('shoot', 'v')",4,152
"('says', 'v')",4,153
"('kill', 'v')",3,154
"('ate', 'v')",3,155
"('man', 'v')",3,156
"('wanted', 'v')",3,157
"('called', 'v')",3,158
"('pardon', 'v')",3,159
"('mean', 'v')",3,160
"('bumped', 'v')",3,161
"('tore', 'v')",3,162
"('count', 'v')",3,163
"('build', 'v')",3,164
"('roll', 'v')",3,165
"('found', 'v')",3,166
"('cubes', 'v')",3,167
"('lunch', 'v')",3,168
"('rinse', 'v')",3,169
"('puts', 'v')",3,170
"('grow', 'v')",3,171
"('smile', 'v')",3,172
"('push', 'v')",3,173
"('work', 'v')",3,174
"('drank', 'v')",3,175
"('broke', 'v')",3,176
"('caught', 'v')",3,177
"('catch', 'v')",3,178
"('wears', 'v')",3,179
"('ride', 'v')",3,180
"('wakes', 'v')",3,181
"('drip', 'v')",3,182
"('drew', 'v')",3,183
"('happens', 'v')",3,184
"('paint', 'v')",3,185
"('wrote', 'v')",2,186
"('understand', 'v')",2,187
"('start', 'v')",2,188
"('used', 'v')",2,189
"('brought', 'v')",2,190
"('sounds', 'v')",2,191
"('cover', 'v')",2,192
"('slipped', 'v')",2,193
"('feed', 'v')",2,194
"('straighten', 'v')",2,195
"('spit', 'v')",2,196
"('wiped', 'v')",2,197
"('wondered', 'v')",2,198
"('looked', 'v')",2,199
"('pinch', 'v')",2,200
"('dry', 'v')",2,201
"('hang', 'v')",2,202
"('slept', 'v')",2,203
"('gives', 'v')",2,204
"('writes', 'v')",2,205
"('walk', 'v')",2,206
"('snap', 'v')",2,207
"('kiss', 'v')",2,208
"('threw', 'v')",2,209
"('stick', 'v')",2,210
"('bands', 'v')",2,211
"('followed', 'v')",2,212
"('takes', 'v')",2,213
"('squeeze', 'v')",2,214
"('turned', 'v')",2,215
"('leaves', 'v')",2,216
"('wonder', 'v')",2,217
"('suck', 'v')",2,218
"('listen', 'v')",2,219
"('save', 'v')",2,220
"('thaw', 'v')",2,221
"('hurts', 'v')",2,222
"('best', 'v')",2,223
"('bounce', 'v')",2,224
"('bent', 'v')",2,225
"('helps', 'v')",2,226
"('drive', 'v')",2,227
"('bought', 'v')",2,228
"('stirs', 'v')",1,229
"('dance', 'v')",1,230
"('changed', 'v')",1,231
"('liked', 'v')",1,232
"('empty', 'v')",1,233
"('kick', 'v')",1,234
"('changes', 'v')",1,235
"('', 'v')",1,236
"('tired', 'v')",1,237
"('means', 'v')",1,238
"('excuse', 'v')",1,239
"('fixes', 'v')",1,240
"('sound', 'v')",1,241
"('juice', 'v')",1,242
"('finishes', 'v')",1,243
"('swallow', 'v')",1,244
"('pin', 'v')",1,245
"('answer', 'v')",1,246
"('dresses', 'v')",1,247
"('back', 'v')",1,248
"('step', 'v')",1,249
"('cracked', 'v')",1,250
"('worry', 'v')",1,251
"('couch', 'v')",1,252
"('miss', 'v')",1,253
"('ran', 'v')",1,254
"('hum', 'v')",1,255
"('learn', 'v')",1,256
"('started', 'v')",1,257
"('dusted', 'v')",1,258
"('jumped', 'v')",1,259
"('missed', 'v')",1,260
"('swim', 'v')",1,261
"('burp', 'v')",1,262
"('milk', 'v')",1,263
"('babies', 'v')",1,264
"('tied', 'v')",1,265
"('c', 'v')",1,266
"('pant', 'v')",1,267
"('pulled', 'v')",1,268
"('believe', 'v')",1,269
"('sweep', 'v')",1,270
"('burped', 'v')",1,271
"('crayons', 'v')",1,272
"('crayon', 'v')",1,273
"('bead', 'v')",1,274
"('kept', 'v')",1,275
"('left', 'v')",1,276
"('cried', 'v')",1,277
"('moved', 'v')",1,278
"('pushes', 'v')",1,279
"('steal', 'v')",1,280
"('lost', 'v')",1,281
"('bobs', 'v')",1,282
"('shook', 'v')",1,283
"('admit', 'v')",1,284
"('bit', 'v')",1,285
"('wet', 'v')",1,286
"('lose', 'v')",1,287
"('hammer', 'v')",1,288
"('dug', 'v')",1,289
"('begins', 'v')",1,290
"('burned', 'v')",1,291
"('warm', 'v')",1,292
"('mail', 'v')",1,293
"('cream', 'v')",1,294
"('tried', 'v')",1,295
"('saved', 'v')",1,296
"('tripped', 'v')",1,297
"('bend', 'v')",1,298
"('cups', 'v')",1,299
"('moves', 'v')",1,300
"('stops', 'v')",1,301
"('part', 'v')",1,302
"('reach', 'v')",1,303
"('whistle', 'v')",1,304
"('told', 'v')",1,305
"('chops', 'v')",1,306
"('splinter', 'v')",1,307
"('keeps', 'v')",1,308
"('ironed', 'v')",1,309
"('trade', 'v')",1,310
"('clonked', 'v')",1,311
"('poke', 'v')",1,312
"('woke', 'v')",1,313
"('groan', 'v')",1,314
"('continue', 'v')",1,315
"('listens', 'v')",1,316
"('interrupt', 'v')",1,317
"('bake', 'v')",1,318
"('thaws', 'v')",1,319
"('likes', 'v')",1,320
"('feels', 'v')",1,321
"('study', 'v')",1,322
"('plan', 'v')",1,323
"('spots', 'v')",1,324
"('pictures', 'v')",1,325
"('washed', 'v')",1,326
"('head', 'v')",1,327
"('cooks', 'v')",1,328
"('still', 'v')",1,329
"('live', 'v')",1,330
"('slips', 'v')",1,331
"('choose', 'v')",1,332
"('love', 'v')",1,333
"('tear', 'v')",1,334
"('end', 'v')",1,335
"('teach', 'v')",1,336
"('fudged', 'v')",1,337
"('grew', 'v')",1,338
"('pass', 'v')",1,339
"('sent', 'v')",1,340
"('knows', 'v')",1,341
"('stew', 'v')",1,342
"('peek', 'v')",1,343
"('untie', 'v')",1,344
"('allowed', 'v')",1,345
"('check', 'v')",1,346
"('translate', 'v')",1,347
"('rolled', 'v')",1,348
"('twist', 'v')",1,349
"('helped', 'v')",1,350
"('thank', 'v')",1,351
"('begin', 'v')",1,352
"('lives', 'v')",1,353
"('close', 'v')",1,354
"('explain', 'v')",1,355
"('scratch', 'v')",1,356
"('mix', 'v')",1,357
"('matter', 'v')",1,358
"('top', 'v')",1,359
