word,count,rank
you,2207,1
the,1405,2
it,1173,3
what,1010,4
a,932,5
your,686,6
in,679,7
to,619,8
that's,618,9
I,572,10
is,556,11
on,514,12
yes,502,13
and,484,14
that,480,15
no,447,16
have,434,17
not,420,18
right,370,19
don't,361,20
there,361,21
well,351,22
it's,347,23
are,328,24
Eve,317,25
do,309,26
put,305,27
one,295,28
oh,260,29
did,256,30
want,251,31
for,249,32
with,244,33
alright,239,34
you're,232,35
get,222,36
see,219,37
he,212,38
we,210,39
go,208,40
just,199,41
of,190,42
going,184,43
here,183,44
lunch,183,45
now,178,46
like,177,47
me,172,48
uhhuh,171,49
some,170,50
gonna,170,51
this,169,52
we'll,168,53
can,168,54
xxx,157,55
Fraser,155,56
where,155,57
doing,152,58
would,151,59
I'll,151,60
them,145,61
know,145,62
I'm,144,63
more,142,64
what's,137,65
back,133,66
why,132,67
her,132,68
too,132,69
be,131,70
eat,124,71
she,123,72
okay,122,73
up,121,74
then,120,75
take,114,76
when,114,77
yeah,113,78
cheese,109,79
hm,107,80
all,106,81
think,104,82
my,102,83
down,100,84
big,100,85
little,97,86
out,97,87
she's,97,88
they,97,89
coffee,93,90
please,93,91
sit,92,92
Eve's,92,93
make,92,94
he's,91,95
good,90,96
stool,88,97
read,87,98
m,87,99
Papa,87,100
was,86,101
but,85,102
Sarah,85,103
another,84,104
an,84,105
if,83,106
can't,81,107
at,81,108
his,79,109
there's,78,110
will,78,111
d,78,112
table,76,113
have_to,76,114
may,75,115
very,74,116
come,73,117
they're,73,118
has,72,119
cup,70,120
time,69,121
two,67,122
soup,67,123
let's,67,124
nap,66,125
off,65,126
say,64,127
paper,64,128
thank_you,64,129
look,64,130
,63,131
tapioca,63,132
juice,62,133
him,62,134
who,61,135
had,61,136
drink,61,137
pencil,61,138
play,61,139
Fraser's,60,140
sandwich,60,141
other,59,142
spoon,59,143
doesn't,58,144
girl,58,145
turn,57,146
let,56,147
give,55,148
chair,55,149
again,55,150
didn't,54,151
grape,53,152
by,53,153
we're,52,154
minute,52,155
Sarah's,52,156
any,51,157
write,51,158
piece,51,159
milk,50,160
wait,50,161
so,49,162
where's,48,163
better,48,164
baby,48,165
box,48,166
out_of,48,167
were,48,168
first,47,169
away,47,170
from,46,171
move,46,172
ice,46,173
man,44,174
over,44,175
bring,43,176
Papa's,43,177
eating,43,178
find,42,179
Mommy's,42,180
bed,42,181
later,41,182
mouth,41,183
fix,41,184
those,41,185
high,41,186
after,41,187
else,40,188
Mommy,39,189
bit,39,190
Cromer,39,191
sugar,39,192
hold,38,193
celery,37,194
Becky,37,195
way,37,196
ask,36,197
does,36,198
need,36,199
kind,36,200
how,35,201
got,35,202
hot,35,203
nut,35,204
new,35,205
hear,34,206
floor,34,207
upstairs,34,208
wipe,34,209
or,34,210
tell,34,211
cracker,33,212
sitting,32,213
diaper,32,214
you'll,32,215
hi,32,216
all_gone,32,217
here's,32,218
busy,31,219
while,31,220
making,31,221
morning,31,222
he'll,31,223
green,31,224
because,30,225
isn't,30,226
watch,30,227
already,30,228
yep,30,229
jump,30,230
hat,29,231
top,29,232
having,29,233
finger,29,234
outside,29,235
blow,29,236
careful,28,237
still,28,238
shall,28,239
fingers,28,240
help,28,241
went,28,242
our,28,243
writing,27,244
around,27,245
napkin,27,246
cmon,27,247
won't,27,248
coming,26,249
under,26,250
these,26,251
sorry,26,252
finished,25,253
book,25,254
peanut,25,255
kitchen,25,256
Becky's,25,257
home,25,258
house,25,259
www,25,260
red,25,261
Colin,25,262
bottle,24,263
toy,24,264
who's,24,265
hard,24,266
only,24,267
something,24,268
tinker,24,269
eggnog,24,270
yet,24,271
shoe,23,272
head,23,273
stay,23,274
yours,23,275
lady,23,276
leave,23,277
almost,23,278
am,23,279
dessert,23,280
sure,22,281
letter,22,282
playing,22,283
Cromer's,22,284
forgot,22,285
either,22,286
today,22,287
round,22,288
couch,22,289
saying,21,290
room,21,291
wanna,21,292
about,21,293
dear,21,294
sweetie,21,295
hole,21,296
climb,21,297
orange,21,298
comes,21,299
cut,21,300
pee,21,301
Mr,20,302
name,20,303
pretty,20,304
noodle,20,305
glasses,20,306
probably,20,307
must,20,308
it'll,20,309
maybe,19,310
wrong,19,311
tape,19,312
taste,19,313
dog,19,314
open,19,315
enough,19,316
yourself,19,317
getting,19,318
nose,19,319
water,18,320
done,18,321
breakfast,18,322
said,18,323
nice,18,324
part,18,325
sleep,18,326
Mom,18,327
Fizzie,18,328
cookies,17,329
you've,17,330
change,17,331
foot,17,332
goes,17,333
door,17,334
afternoon,17,335
cool,17,336
coat,17,337
bread,17,338
sing,17,339
silly,17,340
cook,16,341
dirty,16,342
touch,16,343
letters,16,344
until,16,345
throw,16,346
before,16,347
crack,16,348
finish,16,349
mine,16,350
noise,16,351
how_about,15,352
cookie,15,353
much,15,354
talk,15,355
wants,15,356
dolly,15,357
darling,15,358
happened,15,359
second,15,360
dropped,15,361
break,15,362
face,15,363
many,15,364
ready,15,365
wash,15,366
chew,15,367
hey,15,368
supper,15,369
dish,15,370
Wednesday,15,371
she'll,15,372
yesterday,15,373
counter,15,374
buy,15,375
Gloria,15,376
huh,14,377
what_about,14,378
you'd,14,379
aren't,14,380
what're,14,381
us,14,382
fold,14,383
stop,14,384
teeth,14,385
clean,14,386
pictures,14,387
peel,14,388
use,14,389
living,14,390
hungry,14,391
cold,14,392
chocolate,14,393
rattle,14,394
rest,13,395
lay,13,396
pudding,13,397
glass,13,398
horsie,13,399
shut,13,400
bottom,13,401
bath,13,402
pillow,13,403
boy,13,404
spilled,13,405
bigger,13,406
trying,13,407
own,13,408
draw,13,409
been,13,410
study,13,411
c,13,412
happy,13,413
Mom's,13,414
goin,13,415
bite,13,416
men,13,417
beans,13,418
Sara,13,419
dolly's,12,420
keep,12,421
shoes,12,422
briefcase,12,423
crying,12,424
fixed,12,425
four,12,426
tummy,12,427
forget,12,428
stove,12,429
show,12,430
closet,12,431
eh,12,432
blocks,12,433
long,12,434
looking,12,435
bouillon,12,436
side,12,437
came,12,438
crayon,12,439
bag,12,440
birthday,12,441
made,12,442
drinking,11,443
Racketyboom,11,444
Mommy'll,11,445
apple,11,446
basket,11,447
hurt,11,448
gone,11,449
bowl,11,450
both,11,451
story,11,452
moment,11,453
sleeping,11,454
next,11,455
Lassie,11,456
Humm,11,457
butter,11,458
Emerson,11,459
putting,11,460
run,11,461
looks,11,462
indeed,11,463
wake,11,464
blue,11,465
tomorrow,11,466
pull,11,467
car,11,468
truck,11,469
certainly,11,470
cake,11,471
stick,11,472
kiss,11,473
noodles,11,474
brown,11,475
idea,11,476
lobster,11,477
lap,10,478
that'll,10,479
basement,10,480
belongs,10,481
o,10,482
fell,10,483
stand,10,484
tree,10,485
bibbie,10,486
three,10,487
spill,10,488
picture,10,489
refrigerator,10,490
though,10,491
nuts,10,492
same,10,493
one's,10,494
belong,10,495
cubes,10,496
bicycle,10,497
rocking,10,498
window,10,499
holes,10,500
people,10,501
day,10,502
crayons,10,503
socks,10,504
broke,10,505
Cathy,10,506
supposed,10,507
how's,10,508
graham,9,509
thought,9,510
crackers,9,511
honey,9,512
things,9,513
books,9,514
banjo,9,515
Humpty_Dumpty,9,516
fish,9,517
swing,9,518
empty,9,519
pants,9,520
pick,9,521
gets,9,522
whose,9,523
try,9,524
pipe,9,525
broom,9,526
end,9,527
as_soon_as,9,528
work,9,529
different,9,530
remember,9,531
clay,9,532
front,9,533
mayonnaise,9,534
Granny's,9,535
took,8,536
he'd,8,537
Jack,8,538
man's,8,539
corner,8,540
stuck,8,541
Rangy,8,542
sick,8,543
mean,8,544
great,8,545
whole,8,546
baby's,8,547
feet,8,548
guess,8,549
cracking,8,550
wearing,8,551
Christmas,8,552
b,8,553
wet,8,554
haven't,8,555
week,8,556
tongue,8,557
inside,8,558
pour,8,559
heavy,8,560
name's,8,561
taking,8,562
quite,8,563
fine,8,564
cream,8,565
hands,8,566
ones,8,567
dirt,8,568
hello,8,569
spigot,8,570
tablet,8,571
call,7,572
eye,7,573
lots_of,7,574
hit,7,575
anything,7,576
fireplace,7,577
Kathy,7,578
horse,7,579
panties,7,580
once,7,581
tomato,7,582
pencils,7,583
page,7,584
bib,7,585
bang,7,586
quiet,7,587
suppose,7,588
somebody,7,589
stir,7,590
as,7,591
tower,7,592
fun,7,593
David,7,594
dry,7,595
block,7,596
